,0,1,2,3,4,5,6,7,8,9,10
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,
1,i,Cash,"12,50,000 12 Lacs+","10,00,000 10 Lacs+",Nil,"2,00,000 2 Lacs+","10,000 10 Thou+",Nil,"3,00,000 3 Lacs+","10,000 10 Thou+","Rs 27,70,000 27 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Bank, Nafra Br., No 1185628xxxxx  61,631 61 Thou+ SBI, Tenga Br., No 1177524xxxxx  73,956 73 Thou+","SBI Bank, Nafra Br., No 1185629xxxxx  67,175 67 Thou+",Nil,"SBI Bank, Nafra Br., No 3078519xxxxx  5,93,443 5 Lacs+","SBI Bank, Nafra Br., No 3389665xxxxx  37,499 37 Thou+","Sukanya Samriddhi Yojana Account  60,000 60 Thou+","SBI Bank, Nafra Br., No 3507227xxxxx  7,424 7 Thou+","SBI Bank, Nafra Br., No 3939813xxxxx  31,723 31 Thou+","Rs 9,32,851 9 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Excavator-L&T Kamatsu PC200-6M/C.SI No.NL1c967S, Year-2012  41,47,120 41 Lacs+ Toyota Fortuner, Reg.No.AR01E8800, Year-2011  23,00,000 23 Lacs+ Toyota Fortuner, Reg.No.AR01N0049, Year-2021  38,00,000 38 Lacs+ Road Roller, Year-2014  20,47,000 20 Lacs+ Mahindra Marazzo M2(8Str), Reg.No.AR01M4524, Year-2019  1,44,000 1 Lacs+ Mahindra Scorpio, No.AR01M0372, Year-2019  17,50,000 17 Lacs+","Maruti Suzuki Ciaz, Reg.No.AR01H8800, Year-2015  14,00,000 14 Lacs+ Earth Mover, Year-2013  46,84,269 46 Lacs+ JCB,4DX, Year-2009 22,08,404 22 Lacs+",Nil,Nil,Nil,Nil,"Mahindra Thar 4x4, Reg.NO.AR01R-0049, Year-2023  17,60,000 17 Lacs+ Mahindra Scorpio, Reg.No.AR0S-0049, Year-2024  23,00,000 23 Lacs+",Nil,"Rs 2,65,40,793 2 Crore+"
8,vii,Jewellery (give details weight value),"Gold Bracelet, Gold Chains, Gold Rings 10 Tola  6,87,360 6 Lacs+ Silver Head Gear, 800 Grm  3,00,000 3 Lacs+ Local Ornaments (Beeds)  6,00,000 6 Lacs+","Gold Chain, Gold Ring, Gold Bracelet, 12 Tola  8,24,832 8 Lacs+ Silver Head Gear, 800 Grm  3,00,000 3 Lacs+ Local Ornaments (Beeds)  13,00,000 13 Lacs+",Nil,"Gold Chain 48 Grms  3,43,680 3 Lacs+",Nil,Nil,Nil,Nil,"Rs 43,55,872 43 Lacs+"
9,viii,"Other assets, such as values of claims / interests","22 Bore Rifle Gun No 7xxxxx  2,80,000 2 Lacs+ 25 Bore Pistol No 12xxxxx  2,50,000 2 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 5,30,000 5 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"1,74,17,111 1 Crore+","1,17,84,680 1 Crore+",Nil,"11,37,123 11 Lacs+","47,499 47 Thou+","60,000 60 Thou+","43,67,424 43 Lacs+","41,723 41 Thou+","Rs 3,48,55,560 3 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 1,76,91,067 1 Crore+","Rs 1,17,84,680 1 Crore+",Nil,"Rs 11,37,123 11 Lacs+","Rs 47,499 47 Thou+","Rs 60,000 60 Thou+","Rs 43,67,424 43 Lacs+","Rs 41,723 41 Thou+","Rs 3,51,29,516 3 Crore+"
