,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"2,28,000 2 Lacs+","49,000 49 Thou+",Nil,"1,20,000 1 Lacs+","40,000 40 Thou+","1,80,200 1 Lacs+","43,000 43 Thou+","Rs 6,60,200 6 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank of lndia NC Colony Hospet No 5212024xxxxx  5,749 5 Thou+ Bank of Baroda Bangalore A/c- 89390100015085  118 1 Hund+ State Bank of lndia Bangalore No 6221937xxxxx,  1,050 1 Thou+ State Bank of lndia Hydrabad Branch No 6228347xxxxx  3,190 3 Thou+ State Bank of lndia Bellary No 387520xxxxx  80,690 80 Thou+ HDFC Bank Ltd Bangalore No 501xxxxx 9600262, 94,137 94 Thou+ HDFC bank Ltd Hospet, No 5010024490xxxxx 55,189 55 Thou+ SBI, Nc Colony, Hospet Fixed Deposit No 3922665xxxxx  78,888 78 Thou+ SBI Fixed deposite- 39152220377  1,16,157 1 Lacs+","State Bank of lndia NC Colony Hospet No 5212025xxxxx 1,03,020 1 Lacs+",Nil,"State Bank of lndia NC Colony Hospet No 5220627xxxxx 66,593 66 Thou+",HDFC Bank Ltd Hospet No 5010028865xxxxx  560 5 Hund+,"orporation Bank Hospet No 52010124942xxxxx 882 8 Hund+ SBI, NC Colony, Hospet, No 6220341xxxxx  15,350 15 Thou+","State Bank of lndia NC Colony Hospet A/c- 62440357049  21,57,147 21 Lacs+","Rs 27,78,720 27 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","M/s The Someshwara Builders Pvt Ltd  10,43,052 10 Lacs+ ) M/s Nandan Hotels Limited massories  2,200 2 Thou+ HRG Solar Power Limited  26,00,000 26 Lacs+",Nil,Nil,Nil,Nil,"H.G. Gurudutt Sy.no.288, Kethavaram Village, Orvakal Mandal Kurnool Dist 6,98,15,142 6 Crore+",Nil,"Rs 7,34,60,394 7 Crore+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Volovo XC 90- KA.01.MS.100 purchased in the year 2008  48,00,000 48 Lacs+ ) Misubhisi Pajero purchase in the year 2008-KA-35MFO2  10,50,000 10 Lacs+ Hyundai Elantra purchased in the year 2005- KA.O1.MMO2  3,20,000 3 Lacs+ Hundai Santro model- 2003- KA.04MK.4689  3,00,000 3 Lacs+ Toyoto Enova Crysta 2.42(MT) 27.0s.2022  24,38,270 24 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 89,08,270 89 Lacs+"
8,vii,Jewellery (give details weight value),"Diamond Solitaire 22 CT  2,80,00,000 2 Crore+ ) Diamond Ring 18.21grms  1,41,072 1 Lacs+ Gold Oranments 350.11grams  18,52,082 18 Lacs+ Silver Oranments 8596 grams  5,65,445 5 Lacs+","Gold Oranments 300 grams  15,87,000 15 Lacs+",Nil,"Gold Oranments 468 grams  24,75,720 24 Lacs+","Gold Oranments 325 grams 17,19,250 17 Lacs+","Gold Oranments 250.11grams  13,25,082 13 Lacs+ Silver items 7100 grams  2,14,200 2 Lacs+","Gold Oranments 468 grams  24,75,720 24 Lacs+","Rs 4,03,55,571 4 Crore+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"4,37,75,289 4 Crore+","17,39,020 17 Lacs+",Nil,"26,62,313 26 Lacs+","17,59,810 17 Lacs+","7,15,50,856 7 Crore+","46,75,347 46 Lacs+","Rs 12,61,62,635 12 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 4,37,75,289 4 Crore+","Rs 17,39,020 17 Lacs+",Nil,"Rs 26,62,313 26 Lacs+","Rs 17,59,810 17 Lacs+","Rs 7,15,50,856 7 Crore+","Rs 46,75,867 46 Lacs+","Rs 12,61,63,155 12 Crore+"
