,Relation Type,PAN Given,Financial Year,Total Income Shown in ITR
0,self,Y,2022 - 2023,"2022 - 2023 ** Rs 1,62,20,424 ~ 1 Crore+ 2021 - 2022 ** Rs 85,25,208 ~ 85 Lacs+ 2020 - 2021 ** Rs 57,36,716 ~ 57 Lacs+ 2019 - 2020 ** Rs 49,08,411 ~ 49 Lacs+ 2018 - 2019 ** Rs 47,72,782 ~ 47 Lacs+"
1,spouse,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
2,huf,N,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
3,dependent1,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
4,dependent2,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
5,dependent3,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
6,dependent4,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
7,dependent5,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
8,dependent6,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
9,dependent7,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
10,dependent8,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
11,dependent9,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
12,dependent10,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
13,dependent11,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
