,0,1,2,3,4,5,6,7,8,9,10
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,
1,i,Loans from Banks / FIs,"BOB KR Pete, Loan  31,11,120 31 Lacs+ BOB KR Pete, Loan  2,58,69,952 2 Crore+ BOB KR Pete, Loan  5,38,983 5 Lacs+ BOB KR Pete, Loan  11,99,472 11 Lacs+ BOB KR Pete, Loan  14,23,788 14 Lacs+ PAC Society  1,50,000 1 Lacs+ Induja Leyland Finance  24,10,002 24 Lacs+","PAC Society Haralahalli Agriculture loan  70,000 70 Thou+ BOB KR Pete, Loan  36,30,451 36 Lacs+","PAC Society Haralahalli Agriculture loan  1,20,000 1 Lacs+","PAC Society Haralahalli Agriculture loan  90,000 90 Thou+",Nil,Nil,"Brother H T Lokesh 1)PAC Society Haralahalli Agriculture loan  2,00,000 2 Lacs+ 2)BOB KR PETE, Car loan  8,75,363 8 Lacs+ 3)BOB KR PETE, Home loan  4,91,550 4 Lacs+ 4)TATA MOTORS FINANCE  21,68,126 21 Lacs+ TATA MOTORS FINANCE  21,68,126 21 Lacs+ HDFC BANK MANDYA, Tipper Loan  34,86,334 34 Lacs+",Nil,"Rs 4,80,03,267 4 Crore+"
2,i,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"3,45,68,234 3 Crore+","37,00,451 37 Lacs+","1,20,000 1 Lacs+","90,000 90 Thou+",Nil,Nil,"93,89,499 93 Lacs+",Nil,"Rs 4,78,68,184 4 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 3,47,03,317 3 Crore+","Rs 37,00,451 37 Lacs+","Rs 1,20,000 1 Lacs+","Rs 90,000 90 Thou+",Nil,Nil,"Rs 93,89,499 93 Lacs+",Nil,"Rs 4,80,03,267 4 Crore+"
