,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"5,00,000 5 Lacs+","1,00,000 1 Lacs+",Nil,"1,00,000 1 Lacs+","50,000 50 Thou+","1,00,000 1 Lacs+","50,000 50 Thou+","Rs 9,00,000 9 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank of Baroda 20,532 20 Thou+ Karnataka Pragathi Gramina Bank 913 9 Hund+ SBI Bank MNC Main road Bhadrawathi  55,822 55 Thou+ Canara Bank BH.road Bhadrawathi  3,084 3 Thou+ Union Bank BH road Bhadrawathi  5,920 5 Thou+ Apex Bank CN road Bhadrawathi 12,236 12 Thou+ Indada Co-operative Society 50,872 50 Thou+ Union Bank BH.road Bhadrawathi  5,000 5 Thou+ Apex Bank Bangalore 3,97,865 3 Lacs+",Nil,Nil,"Bank of Baroda  10,384 10 Thou+ Apex Bank CN road Bhadrawathi 19,213 19 Thou+ SBI Bank NMC Main road Bhadrawathi 3,030 3 Thou+","SBI Bank NMC Main road Bhadrwathi 2,670 2 Thou+ SBI Bank NMC Main road Bhadrawathi 3,60,000 3 Lacs+","Bank of Baroda 1,644 1 Thou+ SBI Bank Main road Bhadrawathi 1,401 1 Thou+",Nil,"Rs 9,50,586 9 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","Shiva Society 1,00,000 1 Lacs+ Snehajeeva Society 1,00,000 1 Lacs+",Nil,Nil,Nil,"SBI Bank NMC main Road Bhadrawathi 4,20,378 4 Lacs+",Nil,Nil,"Rs 6,20,378 6 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC Policy no:621910409 date :12.02.2001  86,05,120 86 Lacs+ LIC Policy no:62 date :19.7.2001  85,05,120 85 Lacs+",Nil,Nil,"LIC Policy no 629782648  3,32,217 3 Lacs+ LIC Policy no:629653278  2,25,440 2 Lacs+",Nil,Nil,Nil,"Rs 1,76,67,897 1 Crore+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,vii,Jewellery (give details weight value),"300 grams Gold  16,20,000 16 Lacs+ Silver Pooja items 2000grams  1,48,000 1 Lacs+","200 grams Gold  10,80,000 10 Lacs+",Nil,"25 grams Gold  1,35,000 1 Lacs+","300 grams Gold  16,20,000 16 Lacs+","25 grams Gold  1,35,000 1 Lacs+","300 grams Gold  16,20,000 16 Lacs+","Rs 63,58,000 63 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"2,01,30,484 2 Crore+","11,80,000 11 Lacs+",Nil,"8,25,284 8 Lacs+","24,53,048 24 Lacs+","2,38,045 2 Lacs+","16,70,000 16 Lacs+","Rs 2,64,96,861 2 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 2,01,30,484 2 Crore+","Rs 11,80,000 11 Lacs+",Nil,"Rs 8,25,284 8 Lacs+","Rs 24,53,048 24 Lacs+","Rs 2,38,045 2 Lacs+","Rs 16,70,000 16 Lacs+","Rs 2,64,96,861 2 Crore+"
