,0,1,2,3,4,5,6,7,8,9,10
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,
1,i,Cash,"3,50,000 3 Lacs+","3,00,000 3 Lacs+",Nil,"20,000 20 Thou+","20,000 20 Thou+","10,000 10 Thou+","2,000 2 Thou+",Nil,"Rs 7,02,000 7 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Itanagar Br. No 1094017xxxxx  20,60,750 20 Lacs+ UCO Bank Itanagar Br. No 1482010000xxxxx  0 Axis Bank Naharlagun Br. No 91701007372xxxxx  0 Axis Bank Naharlagun Br. No 91401003084xxxxx  5,68,684 5 Lacs+","HDFC Naharlagun Br. No 5010010623xxxxx  4,11,809 4 Lacs+ A:ris Bank, Naharlagun Br. No 91401005612xxxxx  2,28,947 2 Lacs+ PNB Naharlagun Branch No 755000010003xxxxx  4,33,479 4 Lacs+ SBI Naharlagun Br. A/C No 1O333873597  3,30,400 3 Lacs+ PNB, Naharlagun Branch, Ac.No 755000010003xxxxx (Recurring Deposit)  1,15,698 1 Lacs+",Nil,"PNB, Naharlagun Branch, No 755000010003xxxxx  20,176 20 Thou+ Axis Bank Naharlagun No 92101003183xxxxx  5,87,837 5 Lacs+","PNB, Naharlagun Branch, No 7550000150000xxxxx 3,52,284 3 Lacs+","HDFC Naharlagun Br. No 5010054003xxxxx  15,697 15 Thou+","SBI Itanagar Br. No 3711219xxxxx  78,528 78 Thou+","SBI Itanagar Br. No 3711219xxxxx  77,206 77 Thou+","Rs 52,81,495 52 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"Bajaj Allianz Policy No 534287160 50,00,000 50 Lacs+ Max Life Insurance Policy No 601556129 3,00,00,000 3 Crore+ Max Life Insurance Policy No 604963868 30,00,000 30 Lacs+ Reliance LIC Policy No 54276621 69,91,540 69 Lacs+","Adttya Birla Capital Policy No 008048729 50,00,000 50 Lacs+ Max Life Insurance Policy No 406812495 55,00,000 55 Lacs+ Reliance LIC Policy No 54281087 37,00,000 37 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 5,91,91,540 5 Crore+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)",Nil,"Toyota Fortuner, AR01L2407, Year 2017  30,19,100 30 Lacs+ Hyundat i10 AR-01K2407, Year 2018  4,87,000 4 Lacs+ Fortuner ARO1Q2407, Year 2021  35,50,000 35 Lacs+ Creta, ARO1R24O7, Year- 2023,  16,84,781 16 Lacs+ Fortuner (Legender) AR01Z2407, Year 2024  47,64,000 47 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 1,35,04,881 1 Crore+"
8,vii,Jewellery (give details weight value),"Local Ornaments  2,00,00,000 2 Crore+ 22 crt Gold 20gms @31050/- per 10gmrs 62,100 62 Thou+","Local Ornaments 1,50,00,000 1 Crore+ 22 crt 8Ogms @31050/- per 10gms 2,48,400 2 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 3,53,10,500 3 Crore+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"6,80,33,074 6 Crore+","4,47,73,614 4 Crore+",Nil,"6,28,013 6 Lacs+","3,72,284 3 Lacs+","25,697 25 Thou+","80,528 80 Thou+","77,206 77 Thou+","Rs 11,39,90,416 11 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 6,80,33,074 6 Crore+","Rs 4,47,73,614 4 Crore+",Nil,"Rs 6,28,013 6 Lacs+","Rs 3,72,284 3 Lacs+","Rs 25,697 25 Thou+","Rs 80,528 80 Thou+","Rs 77,206 77 Thou+","Rs 11,39,90,416 11 Crore+"
