,Relation Type,PAN Given,Financial Year,Total Income Shown in ITR
0,self,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
1,spouse,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
2,huf,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
3,dependent1,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
4,dependent2,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
5,dependent3,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
6,dependent4,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
7,dependent5,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
8,dependent6,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
9,dependent7,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
10,dependent8,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
11,dependent9,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
12,dependent10,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
