,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"15,00,000 15 Lacs+","2,00,000 2 Lacs+",Nil,"2,00,000 2 Lacs+","2,00,000 2 Lacs+","50,000 50 Thou+","50,000 50 Thou+","Rs 22,00,000 22 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Shiva Cooperative Society, Honnali  5,431 5 Thou+","Shiva Cooperative Society, Honnali  5,37,753 5 Lacs+",Nil,"Honnali, Karnataka Bank Ltd., SB A/C  4,174.13 4 Thou+ Shiva Cooperative Society, Honnali  1,17,257 1 Lacs+","Shiva Cooperative Society, Honnali  96,554 96 Thou+","Shiva Cooperative Society, Honnali  1,000 1 Thou+","Arakere, Karnataka Bank Ltd., SB Account  4,31,214.79 4 Lacs+ Shiva Cooperative Society, Honnali  1,000 1 Thou+","Rs 11,94,383.92 11 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC 5,00,000 5 Lacs+",Nil,Nil,"LIC  1,05,50,000 1 Crore+","LIC  3,00,000 3 Lacs+",Nil,Nil,"Rs 1,13,50,000 1 Crore+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Mahindra Tractor  6,00,000 6 Lacs+ Maruthi Car  20,00,000 20 Lacs+",Nil,Nil,"E.V Car  26,00,000 26 Lacs+","Honda Creta 17,00,000 17 Lacs+ Toyota Innova  32,00,000 32 Lacs+ Honda C.R.V  3,00,000 3 Lacs+ Bulet  2,00,000 2 Lacs+ Java Bike 1,90,000 1 Lacs+ J.C.B.  17,00,000 17 Lacs+",Nil,"Toyota Fortuner Car  59,00,000 59 Lacs+","Rs 1,83,90,000 1 Crore+"
8,vii,Jewellery (give details weight value),"Gold 500 Gram, 20,00,000 20 Lacs+ Silver 5KG  3,00,000 3 Lacs+","Gold 1500 Gram  60,00,000 60 Lacs+ Silver 1KG  50,000 50 Thou+",Nil,"Gold 500 Gram  20,00,000 20 Lacs+ Silver 1Kg  50,000 50 Thou+","Gold 750 Gram  30,00,000 30 Lacs+ Silver 1KG  50,000 50 Thou+","Gold 2KG  80,00,000 80 Lacs+ 2 KG Silver  1,00,000 1 Lacs+","Gold 2Kg  80,00,000 80 Lacs+ Silver 2KG  1,00,000 1 Lacs+","Rs 2,96,50,000 2 Crore+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"69,05,431 69 Lacs+","67,87,753 67 Lacs+",Nil,"1,51,21,421 1 Crore+","1,09,36,554 1 Crore+","81,51,000 81 Lacs+","1,44,82,214 1 Crore+","Rs 6,23,84,373 6 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 69,05,431 69 Lacs+","Rs 67,87,753 67 Lacs+",Nil,"Rs 1,55,21,431.13 1 Crore+","Rs 1,09,36,554 1 Crore+","Rs 81,51,000 81 Lacs+","Rs 1,44,82,214.79 1 Crore+","Rs 6,27,84,383.92 6 Crore+"
