,name,link,state_year,unique_id
0,Satyanarayana Pithani,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=89,AndhraPradesh2024,AndhraPradesh2024_89
1,Gottipati Ravi Kumar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=91,AndhraPradesh2024,AndhraPradesh2024_91
2,Dr. Partha Sarathi Valmiki,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=83,AndhraPradesh2024,AndhraPradesh2024_83
3,Akhila Priya Bhuma,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=167,AndhraPradesh2024,AndhraPradesh2024_167
4,B. Virupakshi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=70,AndhraPradesh2024,AndhraPradesh2024_70
5,Koona Ravi Kumar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=86,AndhraPradesh2024,AndhraPradesh2024_86
6,Aithabathula Anandarao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=54,AndhraPradesh2024,AndhraPradesh2024_54
7,Konathala Ramakrishna,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=391,AndhraPradesh2024,AndhraPradesh2024_391
8,Daggupati Venkateswara Prasad,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=184,AndhraPradesh2024,AndhraPradesh2024_184
9,Ramakrishna Reddy Nallamilli,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2332,AndhraPradesh2024,AndhraPradesh2024_2332
10,Regam Matyalingam,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=171,AndhraPradesh2024,AndhraPradesh2024_171
11,Anam Ramanarayana Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=172,AndhraPradesh2024,AndhraPradesh2024_172
12,Buddhaprasad Mandali,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2662,AndhraPradesh2024,AndhraPradesh2024_2662
13,Dasari Sudha,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=187,AndhraPradesh2024,AndhraPradesh2024_187
14,Bobbala Chinnolla Janardhan Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=158,AndhraPradesh2024,AndhraPradesh2024_158
15,Narendra Varma Raju Vegesana,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=59,AndhraPradesh2024,AndhraPradesh2024_59
16,Ramanjaneyulu Pulaparthi (Anjibabu),https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2098,AndhraPradesh2024,AndhraPradesh2024_2098
17,Ganta Srinivasa Rao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=29,AndhraPradesh2024,AndhraPradesh2024_29
18,R.V.S.K.K.Ranga Rao @ Babynayana,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=192,AndhraPradesh2024,AndhraPradesh2024_192
19,Venkata Mani Prasad Pullivarthi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=94,AndhraPradesh2024,AndhraPradesh2024_94
20,Kalavenkatarao Kimidi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1089,AndhraPradesh2024,AndhraPradesh2024_1089
21,Prathipati Pullarao,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=312,AndhraPradesh2024,AndhraPradesh2024_312
22,Roshan Kumar Songa,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=194,AndhraPradesh2024,AndhraPradesh2024_194
23,Madduluri Mala Kondaiah,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=197,AndhraPradesh2024,AndhraPradesh2024_197
24,Gurajala Jagan Mohan (Gjm),https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=34,AndhraPradesh2024,AndhraPradesh2024_34
25,Surya Naga Sanyasi Raju Kalidindi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=200,AndhraPradesh2024,AndhraPradesh2024_200
26,Buchepalli Siva Prasad Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=4,AndhraPradesh2024,AndhraPradesh2024_4
27,Chintamaneni Prabhakar,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=201,AndhraPradesh2024,AndhraPradesh2024_201
28,Satya Kumar Yadav,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=315,AndhraPradesh2024,AndhraPradesh2024_315
29,Kotla Jaya Surya Prakash Reddy,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=159,AndhraPradesh2024,AndhraPradesh2024_159
30,Radha Krishnayya Badeti,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=316,AndhraPradesh2024,AndhraPradesh2024_316
31,Eswara Rao Nadukuditi,https://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1033,AndhraPradesh2024,AndhraPradesh2024_1033
