,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"70,795 70 Thou+","1,21,740 1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,92,535 1 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Apex Bank Bengaluru 6,82,560 6 Lacs+ SPS Bank Sandur 3,10,515 3 Lacs+ SPS Bank Sandur 15,06,000 15 Lacs+","SBI Sandur 1,01,028 1 Lacs+ SPS Bank Sandur 3,35,508 3 Lacs+",Nil,"SPS Bank Sandur  3,23,087 3 Lacs+ Canara Bank Bangalore  8,668 8 Thou+","SPS Bank Sandur  2,32,321 2 Lacs+ SBI Bank Sandur 15,330 15 Thou+","SBI Bank Sandur 18,341 18 Thou+ Union Bank Bengaluru 3,873 3 Thou+",Nil,"Rs 35,37,231 35 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","P.L.D. Bank Sandur 1,000 1 Thou+ Infrastructure Bonds 20,000 20 Thou+ SPS Bank & L.H. Cooperative Bengaluru  2,000 2 Thou+","P.L.D. Bank Sandur 1,000 1 Thou+ Amrutha Enterprises Sandur 12,52,149 12 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 12,76,149 12 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,LIC 665948543  0*(Value Not Given) LIC 617416509-66  0*(Value Not Given),LIC No:66492731  0*(Value Not Given),Nil,LIC No:617412727-59  0*(Value Not Given),LIC No:660576520  0*(Value Not Given) LIC No:617531275  0*(Value Not Given),Nil,Nil,Rs 0
6,v,Personal loans/advance given,"For My Wife 78,00,000 78 Lacs+","Bengaluru Rent House Deposit  7,00,000 7 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 85,00,000 85 Lacs+"
7,vi,"Motor Vehicles (details of make, etc.)","Two wheeler Vehicle Java KA05KV3616  2,10,000 2 Lacs+ TOYOTA Innova TA01MR3426  10,50,000 10 Lacs+","Two Wheeler Vehicles Honda Activa KA35EK8916  87,500 87 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 13,47,500 13 Lacs+"
8,vii,Jewellery (give details weight value),"Gold 305 Gram 11,27,230 11 Lacs+","Gold 560 Gram 13,57,000 13 Lacs+",Nil,"Gold 120 Gram 3,00,000 3 Lacs+","Gold 40 Gram 1,00,000 1 Lacs+",Nil,Nil,"Rs 28,84,230 28 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"1,27,80,100 1 Crore+","39,55,925 39 Lacs+",Nil,"6,31,755 6 Lacs+","3,47,651 3 Lacs+","22,214 22 Thou+",Nil,"Rs 1,77,37,645 1 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 1,27,80,100 1 Crore+","Rs 39,55,925 39 Lacs+",Nil,"Rs 6,31,755 6 Lacs+","Rs 3,47,651 3 Lacs+","Rs 22,214 22 Thou+",Nil,"Rs 1,77,37,645 1 Crore+"
