,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"9,30,000 9 Lacs+","45,000 45 Thou+",Nil,Nil,Nil,Nil,"Rs 9,75,000 9 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","PNB Bank Br. Basti No 0805219103xxxxx  9,68,603 9 Lacs+ PNB Bank Br. Basti FDR  22,00,000 22 Lacs+ HDFC Bank Br. Basti No 5010024207xxxxx  3,11,460 3 Lacs+ PNB Bank Br. Basti No 0805113100xxxxx  56,52,734 56 Lacs+ SBI Bank Br. Basti 1,44,592 1 Lacs+ Baroda UP Gramin Bank No 7511030xxxxx  4,647 4 Thou+","PNB Bank No 0805241300xxxxx  2,09,793 2 Lacs+",Nil,Nil,Nil,Nil,"Rs 94,91,829 94 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","Choudhary Floor Mill  1,39,15,000 1 Crore+ Hindustan Indurstry  10,00,000 10 Lacs+ Mutual Fund  1,60,571 1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,50,75,571 1 Crore+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC  21,77,592 21 Lacs+ Canara Bank 1,04,500 1 Lacs+ Bharti Axa  2,05,625 2 Lacs+","LIC  4,10,594 4 Lacs+",Nil,"LIC  1,29,705 1 Lacs+",Nil,Nil,"Rs 30,28,016 30 Lacs+"
6,v,Personal loans/advance given,"Choudhary Floor Mill Pvt. Ltd 1,41,32,111 1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,41,32,111 1 Crore+"
7,vi,"Motor Vehicles (details of make, etc.)","Truck Reg.No-UP-1T-3411 Year-2009  17,23,500 17 Lacs+ Truck Reg.No-UP-51T-2311 Year-2007  15,05,300 15 Lacs+ JCB Reg.No-UP-51T-3111 Year-2008  19,00,000 19 Lacs+ Scorpio Reg.No-UP-32KA-9911 Year-2018  17,53,719 17 Lacs+ Fortuner Reg.No-UP-32FE-2111 Year-2013  24,60,000 24 Lacs+ Fortuner Reg.No-UP-51BA-9911 Year-2021  38,51,330 38 Lacs+ Tractor Reg.No-UP-51H-1311 Year-2005  2,50,000 2 Lacs+ Tractor Reg.No-UP-51E-0911 Year-2003  1,50,000 1 Lacs+ Tractor Reg.No-UP-51M-3111 Year-2009  3,35,000 3 Lacs+","Fortuner Reg.No-UP-32MA-9911 Year-2021  38,68,714 38 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,77,97,563 1 Crore+"
8,vii,Jewellery (give details weight value),"Gold 89 Gram  3,55,779 3 Lacs+","Gold 452 Gram  18,03,506 18 Lacs+ Silver 650 Gram  39,000 39 Thou+",Nil,"Gold 7.5 Gram  30,000 30 Thou+",Nil,Nil,"Rs 22,28,285 22 Lacs+"
9,viii,"Other assets, such as values of claims / interests","Revolver  3,50,000 3 Lacs+ Riffle  1,25,000 1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,75,000 4 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"5,66,67,066 5 Crore+","63,76,607 63 Lacs+",Nil,"1,59,705 1 Lacs+",Nil,Nil,"Rs 6,32,03,378 6 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 5,66,67,063 5 Crore+","Rs 63,76,607 63 Lacs+",Nil,"Rs 1,59,705 1 Lacs+",Nil,Nil,"Rs 6,32,03,375 6 Crore+"
