,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"10,00,000 10 Lacs+","3,00,000 3 Lacs+",Nil,"4,00,000 4 Lacs+","1,00,000 1 Lacs+","1,00,000 1 Lacs+","1,00,000 1 Lacs+","Rs 20,00,000 20 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","HDFC Bank Indira Nagar Br 2,64,435 2 Lacs+ Karnataka State Shakari Apex Bank 1,55,646 1 Lacs+ Apex Bank Vidhansoudha Br 1,95,000 1 Lacs+","HDFC Bank Kalkere Bangalore Br 2,62,338 2 Lacs+ Karnataka State Shakari Apex Bank 1,55,646 1 Lacs+",Nil,"HDFC Bank Kalkere Bangalore Br 6,62,307 6 Lacs+ Karnataka State Shakari Apex Bank 2,18,395 2 Lacs+",Nil,"HDFC Bank Kalkere Bangalore Br 80,00,138 80 Lacs+","HDFC Bank Kalkere Bangalore Br 4,46,182 4 Lacs+","Rs 1,03,60,087 1 Crore+"
3,iii,"Bonds, Debentures and Shares in companies","Eye Automatives Pvt Ltd Director 95,00,000 95 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 95,00,000 95 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC Policy No 36316xxxxx  8,91,450 8 Lacs+ LIC Policy No 6053xxxxx  53,724 53 Thou+ LIC Policy No 3653xxxxx  63,492 63 Thou+ LIC Policy No 36099xxxxx  1,20,690 1 Lacs+ LIC Policy No 36099xxxxx  1,20,690 1 Lacs+","LIC Policy No 36323xxxxx  91,404 91 Thou+",Nil,"Aditya Birla Capital Policy No 00763xxxxx  39,13,878 39 Lacs+",Nil,Nil,Nil,"Rs 52,55,328 52 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Hyundai Santafe 2011  8,00,000 8 Lacs+ Honda City 2004  1,25,000 1 Lacs+ Toyota Camry Hybrid 2019  30,00,000 30 Lacs+","Toyota Innova 2013 12,00,000 12 Lacs+",Nil,"BMW 520D 2020  86,00,000 86 Lacs+",Nil,Nil,Nil,"Rs 1,37,25,000 1 Crore+"
8,vii,Jewellery (give details weight value),"1100g Gold 60,00,000 60 Lacs+ 1kg silver 65,000 65 Thou+","1800g gold 95,00,000 95 Lacs+ 2kg Silver 1,30,000 1 Lacs+",Nil,"500g Gold 26,00,000 26 Lacs+",Nil,Nil,Nil,"Rs 1,82,95,000 1 Crore+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"2,21,79,627 2 Crore+","1,16,39,388 1 Crore+",Nil,"1,63,94,580 1 Crore+",Nil,"90,00,138 90 Lacs+","5,46,182 5 Lacs+","Rs 5,97,59,915 5 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 2,23,55,127 2 Crore+","Rs 1,16,39,388 1 Crore+",Nil,"Rs 1,63,94,580 1 Crore+","Rs 1,00,000 1 Lacs+","Rs 81,00,138 81 Lacs+","Rs 5,46,182 5 Lacs+","Rs 5,91,35,415 5 Crore+"
