,0,1,2,3,4,5,6,7,8,9,10,11
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,dependent6,
1,i,Loans from Banks / FIs,"Dist. Sahkari Kendriya Bank Maryadit Shahdol Branch Bhalumada KCC  59,500 59 Thou+",Nil,Nil,"Dist. Sahkari Kendriya Bank Maryadit Shahdol Branch Bhalumada KCC 23,901 23 Thou+",Nil,Nil,"Axis Bank Gold Loan  4,08,979 4 Lacs+ HDFC Bank M/C Loan  2,50,000 2 Lacs+","Central Bank Samatpur  48,60,000 48 Lacs+","Dist. Sahkari Kendriya Bank Maryadit Shahdol Branch Bhalumada KCC 57,000 57 Thou+ Central Bank Samatpur 48,60,000 48 Lacs+","Rs 1,05,19,380 1 Crore+"
2,i,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"59,500 59 Thou+",Nil,Nil,"23,901 23 Thou+",Nil,Nil,"6,58,979 6 Lacs+","48,60,000 48 Lacs+","49,17,000 49 Lacs+","Rs 1,05,19,380 1 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 59,500 59 Thou+",Nil,Nil,"Rs 23,901 23 Thou+",Nil,Nil,"Rs 6,58,979 6 Lacs+","Rs 48,60,000 48 Lacs+","Rs 49,17,000 49 Lacs+","Rs 1,05,19,380 1 Crore+"
