,0,1,2,3,4,5,6,7,8,9,10,11
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,dependent6,
1,i,Cash,"2,50,000 2 Lacs+","1,50,000 1 Lacs+",Nil,"80,000 80 Thou+","70,000 70 Thou+","50,000 50 Thou+","1,00,000 1 Lacs+","1,00,000 1 Lacs+","1,20,000 1 Lacs+","Rs 9,20,000 9 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Bhopal No 1007816xxxxx  39,567 39 Thou+ Jila Sahkari Kendriya Bank No 68501303xxxxx  10,12,376 10 Lacs+ SBI Bhopal No 1007819xxxxx  37,74,228 37 Lacs+ SBI No 4235843xxxxx  5,99,016 5 Lacs+","SBI Jamuna No 1099085xxxxx  33,343 33 Thou+ SBI Jamuna No 1099086xxxxx  5,088 5 Thou+ TDR No 10999093xxxxx  2,65,178 2 Lacs+",Nil,"SBI Jamuna No 1099091xxxxx  5,163 5 Thou+",Nil,Nil,"Axis Bank Anuppur No 92202001034xxxxx  24,477 24 Thou+ Axis Bank Anuppur No 92201006202xxxxx  4,836 4 Thou+","SBI Bhopal No 3030638xxxxx  223 2 Hund+ Central Bank Samatpur No 916312xxxxx  1,90,890 1 Lacs+","SBI Jamuna No 3118215xxxxx  13,204 13 Thou+ Central Bank Samatpur No 516312xxxxx  4,31,627 4 Lacs+ Sahkari Bank Bhalumada No 18500355xxxxx  2,19,005 2 Lacs+","Rs 66,18,221 66 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Mutual Fund 95,958 95 Thou+ Shares  4,96,128 4 Lacs+","Rs 5,92,086 5 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,"LIC Policy No 37472xxxxx  55,000 55 Thou+ LIC Policy No 36805xxxxx  56,656 56 Thou+","LIC Policy No 38557xxxxx  80,398 80 Thou+","LIC Policy No 38557xxxxx  90,200 90 Thou+ LIC Policy No 36270xxxxx  3,455 3 Thou+ Aditya Birla Health Insurance 4023001713100  23,651 23 Thou+","Rs 3,09,360 3 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Endevour MP04CC6555 Model 2008  18,00,000 18 Lacs+","Qualis MP04NP0801 Model 2008  7,00,000 7 Lacs+ Tractor MP65AA3681 Model 2020 5,20,000 5 Lacs+",Nil,"Tata Safari MP65C0261 Model 2011  9,00,000 9 Lacs+","Pulsar M/C MP04ZA7806 Model 2022  1,26,000 1 Lacs+",Nil,"Yamaha Motor Cycle MP04MT2117 Model 2009  80,000 80 Thou+ Fortuner Car MP04CX5666 Model 2022  15,00,000 15 Lacs+ Maruti Suzuki Omni MP04EB6342 Model 2021  7,00,000 7 Lacs+ Royal Enfield MP18MU7832, Model 2022  3,50,000 3 Lacs+",Nil,"Scorpio Car No.MP04CZ752 Model 2020  18,80,000 18 Lacs+ Tractor MP65AA4443 Model 2021  7,52,000 7 Lacs+","Rs 93,08,000 93 Lacs+"
8,vii,Jewellery (give details weight value),"Gold 50 gm  2,80,000 2 Lacs+","Gold 400 gm  22,40,000 22 Lacs+ silver 14 kg  9,10,000 9 Lacs+",Nil,"300 gm gold 16,80,000 16 Lacs+ 1 kg silver 65,000 65 Thou+","100 gm gold 5,60,000 5 Lacs+","50 gm gold 2,80,000 2 Lacs+","gold 100 gm  5,60,000 5 Lacs+","10 gm gold 56,000 56 Thou+","10 gm gold 56,000 56 Thou+","Rs 66,87,000 66 Lacs+"
9,viii,"Other assets, such as values of claims / interests","Raifal 315 Bore 25,000 25 Thou+ 32 Bore Revolver 57,000 57 Thou+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 82,000 82 Thou+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"78,37,188 78 Lacs+","48,23,609 48 Lacs+",Nil,"27,30,163 27 Lacs+","7,56,000 7 Lacs+","3,30,000 3 Lacs+","34,30,969 34 Lacs+","4,27,511 4 Lacs+","41,81,228 41 Lacs+","Rs 2,45,16,668 2 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 78,37,187 78 Lacs+","Rs 48,23,609 48 Lacs+",Nil,"Rs 27,30,163 27 Lacs+","Rs 7,56,000 7 Lacs+","Rs 3,30,000 3 Lacs+","Rs 34,30,969 34 Lacs+","Rs 4,27,511 4 Lacs+","Rs 41,81,228 41 Lacs+","Rs 2,45,16,667 2 Crore+"
